iter	Logloss
0	0.6756493215
1	0.6590048544
2	0.6432189084
3	0.6272465995
4	0.6145563876
5	0.6017646361
6	0.5885758989
7	0.5773704615
8	0.5670123154
9	0.5570721144
10	0.5475396146
11	0.5376088432
12	0.5285010177
13	0.5197764193
14	0.5122489929
15	0.5036876121
16	0.4978944157
17	0.4922257327
18	0.485826128
19	0.4813674327
20	0.4748399284
21	0.4690751494
22	0.4661784226
23	0.4607778828
24	0.4559441899
25	0.451305518
26	0.4491800887
27	0.4457737783
28	0.441835382
29	0.4383423194
30	0.4354995985
31	0.4318425896
32	0.4283102657
33	0.426110557
34	0.4246080806
35	0.4213969199
36	0.4183439619
37	0.4155292297
38	0.4135332429
39	0.4123755037
40	0.4099631149
41	0.4080270489
42	0.4057096846
43	0.4040541917
44	0.401118975
45	0.3993771157
46	0.3978530369
47	0.396605931
48	0.3949217636
49	0.3933022317
50	0.3918991089
51	0.3900872991
52	0.3890458439
53	0.3875774426
54	0.3860972115
55	0.3853326862
56	0.3841927346
57	0.383360702
58	0.3821380701
59	0.3807471629
60	0.3795756651
61	0.3789119078
62	0.3784205833
63	0.3775501037
64	0.3767419022
65	0.3761662687
66	0.3754032435
67	0.3744330245
68	0.3732798716
69	0.3721032303
70	0.3714991795
71	0.370794832
72	0.3701138443
73	0.3695015211
74	0.3687096928
75	0.3678958336
76	0.367553068
77	0.3669093271
78	0.3663408515
79	0.3657863488
80	0.3645959918
81	0.3640365172
82	0.363362173
83	0.362636009
84	0.3618871282
85	0.3613101659
86	0.3606341073
87	0.3598930273
88	0.3592970344
89	0.3589084925
90	0.3585367096
91	0.3584242617
92	0.3578041591
93	0.3573628543
94	0.356743759
95	0.3563641752
96	0.3556994106
97	0.3552239879
98	0.3549841977
99	0.3546574839
100	0.3542410175
101	0.3536757137
102	0.3528735129
103	0.3522450308
104	0.3517363473
105	0.3514495592
106	0.3509447548
107	0.3505232307
108	0.3501873659
109	0.3498558087
110	0.3489812787
111	0.3484015947
112	0.3477939006
113	0.3474456273
114	0.3470832953
115	0.3465679469
116	0.3458395754
117	0.345449019
118	0.3450970382
119	0.3444664559
120	0.3441891617
121	0.343429694
122	0.3431258898
123	0.3429984832
124	0.3423070586
125	0.3418052759
126	0.3414711684
127	0.340295663
128	0.3399921803
129	0.3397356955
130	0.3392989769
131	0.3387407667
132	0.3383806636
133	0.3383045839
134	0.3379744626
135	0.3374529421
136	0.3373527313
137	0.3370861954
138	0.3368321108
139	0.3363804335
140	0.3359721109
141	0.3355239268
142	0.3350100357
143	0.3345704454
144	0.3339975764
145	0.3336155924
146	0.3333195033
147	0.332876034
148	0.3324486379
149	0.3318943067
150	0.3317720863
151	0.3314130119
152	0.3313777795
153	0.3313623707
154	0.3307724213
155	0.3305694494
156	0.3301799431
157	0.3299252371
158	0.3296465713
159	0.3292336196
160	0.3289128636
161	0.3287678622
162	0.3284098593
163	0.3282764306
164	0.3282418626
165	0.3279151917
166	0.3276304609
167	0.3272523344
168	0.3262919737
169	0.3260580341
170	0.3256337455
171	0.3252152004
172	0.3248425816
173	0.3242117421
174	0.3239849819
175	0.323648067
176	0.3235154741
177	0.3231863172
178	0.322416177
179	0.3223409331
180	0.3218489443
181	0.3213450614
182	0.3212455149
183	0.3211362174
184	0.3209622415
185	0.3201349237
186	0.3199690701
187	0.3196660803
188	0.3195011696
189	0.3194102598
190	0.3190988691
191	0.3180855955
192	0.3178390331
193	0.3174447906
194	0.3169251774
195	0.3163429432
196	0.3159209691
197	0.3154028346
198	0.3150228007
199	0.3146210788
200	0.3143369267
201	0.3141100166
202	0.3137572214
203	0.3132750265
204	0.3130601176
205	0.3127181235
206	0.3123282529
207	0.3120511516
208	0.3116802258
209	0.3108808539
210	0.3107842435
211	0.3106491432
212	0.3102495215
213	0.310229205
214	0.3094812457
215	0.3089092983
216	0.308705062
217	0.3083459661
218	0.3079524308
219	0.3078213167
220	0.307698882
221	0.3070896449
222	0.3068034783
223	0.3066024137
224	0.3064139291
225	0.3062810148
226	0.3060288804
227	0.3057561296
228	0.3056347236
229	0.3048358874
230	0.3046288008
231	0.3042595253
232	0.304061461
233	0.3038740908
234	0.3031353468
235	0.3025921597
236	0.3024748899
237	0.3024593739
238	0.3023273811
239	0.3019684781
240	0.3014448787
241	0.3010858686
242	0.30092653
243	0.3006650303
244	0.3002403131
245	0.2998407771
246	0.299698176
247	0.2994279754
248	0.2992420197
249	0.2985027185
250	0.2979201628
251	0.2973707392
252	0.297253898
253	0.2970632274
254	0.2968083285
255	0.2964525973
256	0.2954969085
257	0.2948123203
258	0.294474741
259	0.2942054191
260	0.2939630358
261	0.2937007647
262	0.2934447728
263	0.2931361895
264	0.2926483797
265	0.2922927985
266	0.2920562658
267	0.2916410853
268	0.2910294265
269	0.2907642622
270	0.2905982157
271	0.290186357
272	0.2898497849
273	0.2893890852
274	0.2892318897
275	0.2886612281
276	0.2883308925
277	0.2880045859
278	0.2878435971
279	0.2877331423
280	0.2875123613
281	0.2871646024
282	0.2866547402
283	0.2862166073
284	0.2856046269
285	0.2855011158
286	0.2851086091
287	0.2847962969
288	0.2839852237
289	0.2837011359
290	0.283458624
291	0.2829983743
292	0.2827140079
293	0.2824281843
294	0.2821651202
295	0.281878032
296	0.2817114069
297	0.2813925797
298	0.2810553219
299	0.2804673656
